date,open,high,low,close,volume,open_interest,settle,symbol
20190925,15090.0,15435.0,14980.0,15200.0,7784,1710,15220.0,SS0
20190926,15565.0,15935.0,15550.0,15705.0,106728,19368,15715.0,SS0
20190927,15715.0,15800.0,15580.0,15725.0,28334,15904,15675.0,SS0
20190930,15735.0,15790.0,15635.0,15700.0,15514,14590,15695.0,SS0
20191008,15630.0,15800.0,15545.0,15675.0,7400,14614,15645.0,SS0
20191009,15630.0,15695.0,15630.0,15675.0,4898,14500,15665.0,SS0
20191010,15685.0,15895.0,15600.0,15765.0,11566,15286,15690.0,SS0
20191011,15800.0,15800.0,15705.0,15745.0,7914,14654,15745.0,SS0
20191014,15775.0,15830.0,15735.0,15765.0,9842,14774,15775.0,SS0
20191015,15735.0,15820.0,15165.0,15440.0,23070,14770,15530.0,SS0
20191016,15405.0,15585.0,15405.0,15490.0,9800,14062,15500.0,SS0
20191017,15465.0,15510.0,15115.0,15180.0,21976,14866,15275.0,SS0
20191018,15175.0,15245.0,14790.0,15020.0,26950,16168,15030.0,SS0
20191021,15180.0,15200.0,14680.0,14850.0,24926,17612,14900.0,SS0
20191022,14850.0,14980.0,14770.0,14895.0,10304,18188,14855.0,SS0
20191023,14940.0,15150.0,14840.0,14975.0,17532,17306,14955.0,SS0
20191024,14975.0,15130.0,14940.0,15005.0,11796,17000,15050.0,SS0
20191025,15060.0,15080.0,14815.0,14960.0,13594,17124,14930.0,SS0
20191028,14960.0,15065.0,14855.0,15005.0,9592,16402,14945.0,SS0
20191029,15065.0,15225.0,14965.0,15025.0,13946,15906,15080.0,SS0
20191030,15020.0,15065.0,14965.0,15065.0,5464,15738,15020.0,SS0
20191031,15115.0,15115.0,14925.0,14985.0,6612,15984,15015.0,SS0
20191101,14990.0,15000.0,14850.0,15000.0,8370,16230,14920.0,SS0
20191104,14955.0,15005.0,14950.0,14975.0,4632,16166,14970.0,SS0
20191105,14960.0,15000.0,14875.0,14910.0,8172,16304,14925.0,SS0
20191106,14910.0,14975.0,14865.0,14930.0,8148,15964,14920.0,SS0
20191107,14955.0,14965.0,14850.0,14920.0,8134,15358,14910.0,SS0
20191108,14940.0,14940.0,14775.0,14780.0,7920,15044,14845.0,SS0
20191111,14765.0,14780.0,14200.0,14210.0,39166,19348,14405.0,SS0
20191112,14205.0,14425.0,14170.0,14385.0,21560,19704,14285.0,SS0
20191113,14345.0,14480.0,14250.0,14360.0,11526,20382,14360.0,SS0
20191114,14350.0,14430.0,14270.0,14370.0,9242,19736,14345.0,SS0
20191115,14365.0,14440.0,14200.0,14375.0,14680,19548,14310.0,SS0
20191118,14375.0,14405.0,14115.0,14300.0,17972,20158,14230.0,SS0
20191119,14205.0,14505.0,14205.0,14380.0,17204,18920,14380.0,SS0
20191120,14380.0,14485.0,14335.0,14415.0,11248,17890,14420.0,SS0
20191121,14400.0,14405.0,14260.0,14375.0,12054,16804,14335.0,SS0
20191122,14420.0,14580.0,14315.0,14530.0,17356,16786,14485.0,SS0
20191125,14540.0,14595.0,14455.0,14525.0,8070,16862,14535.0,SS0
20191126,14555.0,14565.0,14355.0,14370.0,9872,15376,14445.0,SS0
20191127,14360.0,14380.0,14185.0,14220.0,14148,15830,14270.0,SS0
20191128,14220.0,14260.0,14095.0,14110.0,10662,17162,14170.0,SS0
20191129,14080.0,14135.0,14000.0,14005.0,10418,18358,14060.0,SS0
20191202,13975.0,14075.0,13905.0,13930.0,10508,18906,13985.0,SS0
20191203,13930.0,14075.0,13925.0,14020.0,6460,18118,14005.0,SS0
20191204,14015.0,14095.0,13835.0,13850.0,14030,20060,13935.0,SS0
20191205,13870.0,13980.0,13765.0,13880.0,17692,21064,13830.0,SS0
20191206,13875.0,14015.0,13850.0,13950.0,17792,20898,13950.0,SS0
20191209,13970.0,14130.0,13785.0,13935.0,17890,20072,13980.0,SS0
20191210,13920.0,14030.0,13860.0,13985.0,7704,20102,13975.0,SS0
20191211,13985.0,14280.0,13940.0,14200.0,23972,19016,14140.0,SS0
20191212,14275.0,14395.0,14200.0,14235.0,25338,19816,14310.0,SS0
20191213,14265.0,14295.0,14115.0,14275.0,10442,19238,14215.0,SS0
20191216,14350.0,14375.0,14190.0,14255.0,12064,17826,14285.0,SS0
20191217,14220.0,14325.0,14220.0,14300.0,5664,18324,14285.0,SS0
20191218,14300.0,14345.0,14230.0,14295.0,7966,17818,14275.0,SS0
20191219,14290.0,14395.0,14255.0,14395.0,8884,17492,14310.0,SS0
20191220,14410.0,14430.0,14310.0,14340.0,11480,17204,14390.0,SS0
20191223,14340.0,14470.0,14330.0,14440.0,9428,16632,14425.0,SS0
20191224,14440.0,14480.0,14235.0,14310.0,11752,15536,14330.0,SS0
20191225,14330.0,14330.0,14240.0,14240.0,6002,15016,14275.0,SS0
20191226,14240.0,14290.0,14240.0,14270.0,2684,14556,14265.0,SS0
20191227,14260.0,14320.0,14070.0,14240.0,5338,13734,14250.0,SS0
20191230,14220.0,14355.0,14220.0,14345.0,4904,13486,14300.0,SS0
20191231,14175.0,14860.0,14175.0,14410.0,21314,26932,14350.0,SS0
20200102,14390.0,14400.0,13795.0,13805.0,11870,18913,14170.0,SS0
20200103,13805.0,13935.0,13745.0,13750.0,20523,24842,13850.0,SS0
20200106,13750.0,13975.0,13730.0,13895.0,19663,26890,13835.0,SS0
20200107,13930.0,13965.0,13850.0,13930.0,9076,27746,13910.0,SS0
20200108,13970.0,14100.0,13905.0,13965.0,13979,28725,14010.0,SS0
20200109,13925.0,14065.0,13925.0,13950.0,16522,31420,14000.0,SS0
20200110,14000.0,14100.0,13925.0,14065.0,13038,33911,14050.0,SS0
20200113,14115.0,14140.0,14000.0,14030.0,12041,35307,14045.0,SS0
20200114,13980.0,14030.0,13830.0,13840.0,14462,36587,13920.0,SS0
20200115,13875.0,13895.0,13815.0,13830.0,8945,37642,13865.0,SS0
