date,open,close,high,low,volume,symbol
20241225,23226.35,23220.13,23296.36,23159.36,5883.4,TWII
20241224,23260.74,23120.24,23326.25,23120.24,6550.53,TWII
20241223,22811.56,23104.54,23132.25,22811.56,6879.56,TWII
20241220,22798.39,22510.25,22845.59,22510.25,8416.19,TWII
20241219,22947.56,22932.25,22947.56,22743.3,7634.77,TWII
20241218,23014.43,23168.67,23211.17,22934.59,7096.61,TWII
20241217,23131.57,23018.01,23223.51,23018.01,7111.82,TWII
20241216,23207.21,23039.9,23264.4,22959.91,6906.35,TWII
20241213,23002.37,23020.48,23097.52,22920.84,6761.47,TWII
20241212,23050.64,23046.8,23189.29,23030.48,6832.46,TWII
20241211,23108.36,22903.63,23108.36,22880.57,6353.87,TWII
20241210,23228.26,23125.08,23329.01,23071.43,6780.1,TWII
20241209,23287.79,23273.25,23325.99,23172.22,6787.69,TWII
20241206,23278.68,23193.27,23361.12,23137.62,6620.61,TWII
20241205,23308.29,23267.94,23387.17,23225.31,6865.84,TWII
20241204,23126.08,23255.33,23255.33,23034.7,7115.25,TWII
20241203,22972.3,23027.46,23144.78,22972.3,8437.01,TWII
20241202,22456.5,22736.93,22802.53,22456.5,6539.08,TWII
20241129,22202.28,22262.5,22429.86,22055.38,6039.71,TWII
20241128,22380.45,22298.9,22413.25,22124.31,6876.24,TWII
20241127,22665.58,22334.78,22743.99,22334.78,7465.84,TWII
20241126,22789.6,22678.76,22832.11,22645.13,6587.49,TWII
20241125,22996.05,22948.37,23172.43,22948.37,9016.5,TWII
20241122,22799.53,22904.32,23019.04,22799.53,7512.73,TWII
20241121,22671.66,22555.66,22708.57,22490.28,6888.87,TWII
20241120,22872.91,22688.36,22977.56,22622.47,7304.59,TWII
20241119,22614.74,22848.8,22906.69,22578.75,7496.71,TWII
20241118,22693.96,22546.54,22781.77,22503.69,7378.71,TWII
20241115,22767.11,22742.77,22940.8,22690.77,7813.59,TWII
20241114,22821.04,22715.38,22893.82,22619.71,8159.63,TWII
