date,open,high,low,close,volume,open_interest,settle,symbol
20190809,1745.0,1788.0,1702.0,1702.0,659400,78818,1749.0,UR0
20190812,1690.0,1726.0,1679.0,1716.0,546572,93880,1699.0,UR0
20190813,1705.0,1767.0,1702.0,1767.0,646106,130368,1743.0,UR0
20190814,1770.0,1783.0,1716.0,1732.0,580890,91742,1745.0,UR0
20190815,1738.0,1753.0,1724.0,1738.0,359014,91470,1739.0,UR0
20190816,1737.0,1754.0,1732.0,1739.0,155558,85024,1743.0,UR0
20190819,1743.0,1750.0,1730.0,1741.0,114896,82192,1741.0,UR0
20190820,1741.0,1749.0,1736.0,1741.0,56548,75570,1740.0,UR0
20190821,1738.0,1738.0,1706.0,1718.0,186728,72356,1717.0,UR0
20190822,1722.0,1730.0,1718.0,1723.0,60066,66808,1724.0,UR0
20190823,1725.0,1727.0,1714.0,1720.0,39686,66130,1720.0,UR0
20190826,1715.0,1748.0,1712.0,1736.0,84092,63260,1735.0,UR0
20190827,1734.0,1758.0,1731.0,1738.0,119160,64540,1747.0,UR0
20190828,1744.0,1758.0,1738.0,1750.0,63824,65434,1749.0,UR0
20190829,1749.0,1815.0,1749.0,1786.0,461238,88936,1792.0,UR0
20190830,1795.0,1804.0,1781.0,1789.0,164404,88046,1793.0,UR0
20190902,1793.0,1826.0,1781.0,1796.0,149628,94430,1802.0,UR0
20190903,1798.0,1806.0,1785.0,1791.0,92794,92054,1794.0,UR0
20190904,1796.0,1843.0,1793.0,1813.0,302950,97976,1822.0,UR0
20190905,1814.0,1830.0,1807.0,1812.0,127216,92870,1819.0,UR0
20190906,1815.0,1827.0,1810.0,1820.0,89434,93418,1818.0,UR0
20190909,1832.0,1840.0,1817.0,1823.0,86552,96624,1827.0,UR0
20190910,1826.0,1835.0,1803.0,1811.0,113858,91392,1816.0,UR0
20190911,1811.0,1820.0,1808.0,1817.0,50736,86822,1814.0,UR0
20190912,1818.0,1822.0,1811.0,1815.0,36434,83524,1816.0,UR0
20190916,1819.0,1825.0,1775.0,1790.0,93312,75976,1799.0,UR0
20190917,1791.0,1796.0,1778.0,1781.0,60294,70150,1785.0,UR0
20190918,1782.0,1786.0,1764.0,1785.0,69102,65600,1776.0,UR0
20190919,1784.0,1794.0,1774.0,1778.0,60948,68304,1785.0,UR0
20190920,1780.0,1780.0,1752.0,1760.0,86986,71280,1762.0,UR0
20190923,1764.0,1769.0,1756.0,1763.0,46354,74478,1762.0,UR0
20190924,1764.0,1776.0,1759.0,1772.0,50838,69872,1769.0,UR0
20190925,1774.0,1775.0,1754.0,1756.0,43502,74100,1761.0,UR0
20190926,1757.0,1765.0,1744.0,1758.0,39750,70618,1756.0,UR0
20190927,1751.0,1757.0,1747.0,1749.0,22444,65782,1752.0,UR0
20190930,1754.0,1764.0,1749.0,1755.0,23764,63890,1758.0,UR0
20191008,1750.0,1764.0,1728.0,1753.0,38406,65400,1748.0,UR0
20191009,1754.0,1773.0,1752.0,1769.0,55208,73802,1765.0,UR0
20191010,1769.0,1779.0,1756.0,1758.0,35538,74388,1767.0,UR0
20191011,1760.0,1763.0,1748.0,1752.0,26466,75068,1754.0,UR0
20191014,1750.0,1753.0,1734.0,1739.0,30908,81130,1744.0,UR0
20191015,1730.0,1738.0,1730.0,1737.0,20866,83800,1734.0,UR0
20191016,1737.0,1742.0,1730.0,1730.0,21902,84696,1737.0,UR0
20191017,1728.0,1728.0,1711.0,1715.0,42662,89514,1718.0,UR0
20191018,1715.0,1725.0,1711.0,1714.0,23358,90502,1717.0,UR0
20191021,1715.0,1715.0,1699.0,1700.0,34972,94696,1706.0,UR0
20191022,1701.0,1704.0,1673.0,1683.0,99962,112242,1683.0,UR0
20191023,1685.0,1686.0,1675.0,1679.0,38312,113544,1680.0,UR0
20191024,1683.0,1692.0,1678.0,1683.0,40328,113368,1684.0,UR0
20191025,1681.0,1687.0,1678.0,1680.0,32438,115202,1682.0,UR0
20191028,1682.0,1692.0,1679.0,1685.0,32350,111456,1685.0,UR0
20191029,1686.0,1695.0,1680.0,1686.0,36342,109100,1686.0,UR0
20191030,1685.0,1695.0,1682.0,1690.0,30166,108308,1690.0,UR0
20191031,1690.0,1697.0,1686.0,1686.0,28798,109254,1691.0,UR0
20191101,1686.0,1690.0,1681.0,1687.0,24620,107634,1685.0,UR0
20191104,1687.0,1689.0,1680.0,1682.0,18892,108386,1684.0,UR0
20191105,1684.0,1706.0,1682.0,1702.0,55988,112280,1695.0,UR0
20191106,1701.0,1706.0,1682.0,1683.0,37030,108456,1694.0,UR0
20191107,1686.0,1689.0,1667.0,1668.0,68910,117574,1676.0,UR0
20191108,1670.0,1672.0,1638.0,1643.0,80700,125090,1649.0,UR0
20191111,1646.0,1648.0,1634.0,1636.0,43368,125764,1641.0,UR0
20191112,1640.0,1655.0,1634.0,1646.0,37264,122198,1643.0,UR0
20191113,1643.0,1660.0,1642.0,1649.0,34862,119626,1651.0,UR0
20191114,1649.0,1655.0,1630.0,1635.0,50820,121086,1640.0,UR0
20191115,1636.0,1649.0,1632.0,1647.0,53370,107746,1641.0,UR0
20191118,1642.0,1645.0,1600.0,1605.0,121396,116754,1617.0,UR0
20191119,1598.0,1611.0,1582.0,1604.0,80684,110406,1592.0,UR0
20191120,1605.0,1620.0,1593.0,1601.0,60146,105374,1607.0,UR0
20191121,1606.0,1606.0,1594.0,1600.0,27164,106294,1600.0,UR0
20191122,1604.0,1635.0,1602.0,1624.0,82798,99328,1620.0,UR0
20191125,1635.0,1670.0,1633.0,1660.0,99388,85278,1652.0,UR0
20191126,1659.0,1664.0,1646.0,1655.0,55862,80540,1656.0,UR0
20191127,1656.0,1675.0,1656.0,1673.0,48430,80676,1667.0,UR0
20191128,1675.0,1679.0,1660.0,1672.0,42534,81282,1668.0,UR0
20191129,1670.0,1677.0,1662.0,1675.0,50392,72588,1670.0,UR0
20191202,1670.0,1673.0,1658.0,1661.0,36176,71938,1664.0,UR0
20191203,1663.0,1671.0,1658.0,1661.0,24918,70602,1662.0,UR0
20191204,1665.0,1698.0,1664.0,1682.0,47348,63284,1677.0,UR0
20191205,1684.0,1724.0,1679.0,1720.0,88228,52830,1707.0,UR0
20191206,1717.0,1734.0,1712.0,1726.0,44926,52554,1722.0,UR0
20191209,1732.0,1748.0,1726.0,1742.0,38738,52516,1739.0,UR0
20191210,1739.0,1753.0,1734.0,1741.0,41536,50374,1742.0,UR0
20191211,1732.0,1738.0,1720.0,1732.0,35698,51372,1730.0,UR0
20191212,1731.0,1732.0,1714.0,1717.0,30234,37162,1725.0,UR0
20191213,1720.0,1727.0,1701.0,1710.0,26854,26768,1711.0,UR0
20191216,1735.0,1742.0,1720.0,1729.0,38434,65380,1733.0,UR0
20191217,1728.0,1736.0,1722.0,1729.0,34548,69084,1731.0,UR0
20191218,1726.0,1727.0,1707.0,1708.0,45452,71694,1717.0,UR0
20191219,1710.0,1727.0,1707.0,1727.0,40676,69834,1716.0,UR0
20191220,1730.0,1730.0,1715.0,1715.0,25480,70942,1723.0,UR0
20191223,1720.0,1724.0,1713.0,1716.0,23466,74124,1718.0,UR0
20191224,1711.0,1718.0,1696.0,1700.0,52664,86772,1705.0,UR0
20191225,1703.0,1708.0,1700.0,1705.0,25226,88824,1705.0,UR0
20191226,1704.0,1715.0,1702.0,1714.0,29158,89328,1709.0,UR0
20191227,1711.0,1722.0,1709.0,1711.0,38676,90082,1715.0,UR0
20191230,1711.0,1720.0,1701.0,1715.0,45364,100094,1712.0,UR0
20191231,1712.0,1729.0,1711.0,1723.0,41876,105468,1722.0,UR0
20200102,1722.0,1731.0,1716.0,1716.0,21569,53300,1723.0,UR0
20200103,1716.0,1719.0,1705.0,1714.0,26539,52847,1712.0,UR0
20200106,1716.0,1735.0,1716.0,1728.0,25760,51200,1726.0,UR0
20200107,1727.0,1747.0,1727.0,1742.0,29579,52363,1738.0,UR0
20200108,1750.0,1776.0,1730.0,1745.0,48711,43008,1750.0,UR0
20200109,1740.0,1742.0,1730.0,1731.0,18107,43029,1736.0,UR0
20200110,1733.0,1746.0,1732.0,1738.0,20439,42677,1741.0,UR0
20200113,1738.0,1770.0,1737.0,1762.0,41275,44329,1758.0,UR0
20200114,1758.0,1773.0,1751.0,1755.0,27204,42499,1764.0,UR0
20200115,1758.0,1761.0,1752.0,1758.0,19226,44747,1756.0,UR0
20200116,1762.0,1767.0,1753.0,1757.0,11668,44892,1758.0,UR0
20200117,1756.0,1760.0,1745.0,1746.0,13294,43641,1750.0,UR0
20200120,1748.0,1754.0,1741.0,1749.0,9310,44057,1748.0,UR0
20200121,1750.0,1758.0,1717.0,1720.0,29795,40516,1736.0,UR0
