date,open,high,low,close,volume,open_interest,settle,symbol
20090525,6575.0,6630.0,6435.0,6490.0,107764,12278,0.0,V0
20090526,6485.0,6540.0,6445.0,6460.0,38290,10562,0.0,V0
20090527,6500.0,6535.0,6460.0,6485.0,34002,10346,0.0,V0
20090601,6555.0,6595.0,6520.0,6570.0,26178,10352,0.0,V0
20090602,6590.0,6590.0,6545.0,6555.0,13496,9388,0.0,V0
20090603,6565.0,6595.0,6550.0,6580.0,14680,9452,0.0,V0
20090604,6620.0,6905.0,6605.0,6635.0,12580,6322,0.0,V0
20090605,6590.0,6695.0,6575.0,6655.0,19864,10196,0.0,V0
20090608,6650.0,6970.0,6620.0,6970.0,107348,34972,0.0,V0
20090609,7020.0,7160.0,6910.0,7040.0,354866,47952,0.0,V0
20090610,7120.0,7130.0,6955.0,6990.0,212152,38412,0.0,V0
20090611,7025.0,7050.0,6930.0,6930.0,104918,38284,0.0,V0
20090612,6955.0,6970.0,6790.0,6820.0,142654,39346,0.0,V0
20090615,6800.0,6910.0,6755.0,6855.0,109950,41324,0.0,V0
20090616,6805.0,6890.0,6800.0,6850.0,63206,38970,0.0,V0
20090617,6830.0,6990.0,6800.0,6940.0,203342,48112,0.0,V0
20090618,6965.0,7085.0,6910.0,6945.0,220516,51930,0.0,V0
20090619,6970.0,7015.0,6890.0,6915.0,112430,49088,0.0,V0
20090622,6850.0,6930.0,6815.0,6815.0,97436,48676,0.0,V0
20090623,6755.0,6810.0,6715.0,6770.0,87904,44500,0.0,V0
20090624,6795.0,6795.0,6715.0,6770.0,48840,42586,0.0,V0
20090625,6770.0,6865.0,6750.0,6830.0,70950,44944,0.0,V0
20090626,6880.0,6920.0,6825.0,6885.0,55012,41706,0.0,V0
20090629,6865.0,6865.0,6770.0,6775.0,37896,41510,0.0,V0
20090630,6820.0,6915.0,6800.0,6885.0,69850,45808,0.0,V0
20090701,6855.0,6905.0,6820.0,6855.0,46090,44132,0.0,V0
20090702,6830.0,6895.0,6815.0,6830.0,45880,41624,0.0,V0
20090703,6800.0,6880.0,6770.0,6855.0,59916,40392,0.0,V0
20090706,6850.0,6955.0,6840.0,6870.0,87866,40502,0.0,V0
20090707,6890.0,6930.0,6880.0,6925.0,39946,41646,0.0,V0
20090708,6890.0,6905.0,6845.0,6870.0,27928,35718,0.0,V0
20090709,6840.0,6870.0,6815.0,6865.0,27212,36460,0.0,V0
20090710,6880.0,6985.0,6865.0,6880.0,86988,38422,0.0,V0
20090713,6905.0,6910.0,6840.0,6845.0,40486,36908,0.0,V0
20090714,6870.0,6880.0,6840.0,6860.0,22902,38462,0.0,V0
20090715,6870.0,6950.0,6850.0,6930.0,58720,46424,0.0,V0
20090716,6955.0,7000.0,6890.0,6930.0,55580,47160,0.0,V0
20090717,6945.0,7030.0,6930.0,7000.0,105350,60986,0.0,V0
20090720,7030.0,7075.0,6990.0,7005.0,73896,62364,0.0,V0
20090721,7010.0,7010.0,6860.0,6905.0,55648,55678,0.0,V0
20090722,6905.0,6945.0,6865.0,6875.0,38210,51046,0.0,V0
20090723,6900.0,6915.0,6845.0,6895.0,31614,50734,0.0,V0
20090724,6900.0,6935.0,6880.0,6905.0,27964,49408,0.0,V0
20090727,7075.0,7260.0,7050.0,7245.0,87918,58294,0.0,V0
20090728,7245.0,7340.0,7195.0,7270.0,110316,72602,0.0,V0
20090729,7250.0,7360.0,7155.0,7220.0,123436,65612,0.0,V0
20090730,7200.0,7495.0,7185.0,7490.0,368264,126808,0.0,V0
20090731,7560.0,7750.0,7520.0,7660.0,302370,133860,0.0,V0
20090803,7745.0,7865.0,7550.0,7740.0,427592,149544,0.0,V0
20090804,7755.0,7815.0,7390.0,7520.0,460706,141192,0.0,V0
20090805,7600.0,7670.0,7460.0,7520.0,314518,134704,0.0,V0
20090806,7550.0,7785.0,7505.0,7735.0,624918,169892,0.0,V0
20090807,7705.0,7825.0,7540.0,7570.0,598962,153686,0.0,V0
20090810,7575.0,7740.0,7555.0,7675.0,519024,167390,0.0,V0
20090811,7645.0,8025.0,7635.0,7930.0,878176,194664,0.0,V0
20090812,7930.0,8035.0,7765.0,7785.0,601154,177876,0.0,V0
20090813,7900.0,7990.0,7815.0,7875.0,443842,179408,0.0,V0
20090814,7920.0,7950.0,7635.0,7670.0,604792,158968,0.0,V0
20090817,7505.0,7540.0,7345.0,7345.0,202266,141426,0.0,V0
20090818,7345.0,7410.0,7255.0,7330.0,366852,129010,0.0,V0
20090819,7420.0,7425.0,7015.0,7155.0,328990,112660,0.0,V0
20090820,7290.0,7315.0,7130.0,7260.0,296564,109044,0.0,V0
20090821,7200.0,7380.0,7170.0,7255.0,321852,109010,0.0,V0
20090824,7440.0,7510.0,7240.0,7380.0,254770,113056,0.0,V0
20090825,7310.0,7360.0,7185.0,7230.0,232694,110466,0.0,V0
20090826,7170.0,7295.0,7160.0,7230.0,147828,113356,0.0,V0
20090827,7220.0,7305.0,7180.0,7235.0,190010,113494,0.0,V0
20090828,7300.0,7325.0,7240.0,7265.0,150384,112328,0.0,V0
20090831,7295.0,7295.0,7100.0,7120.0,165344,112304,0.0,V0
20090901,7125.0,7140.0,6980.0,7035.0,176330,110054,0.0,V0
20090902,7000.0,7000.0,6820.0,6925.0,212986,96288,0.0,V0
20090903,6945.0,7045.0,6865.0,7015.0,178940,91568,0.0,V0
20090904,6985.0,7065.0,6955.0,7015.0,141990,89208,0.0,V0
20090907,7010.0,7050.0,6945.0,6955.0,143148,91216,0.0,V0
20090908,6935.0,6950.0,6825.0,6895.0,154176,94684,0.0,V0
20090909,6950.0,7015.0,6915.0,6970.0,131388,96464,0.0,V0
20090910,6950.0,6985.0,6905.0,6930.0,81348,95110,0.0,V0
20090911,6950.0,6980.0,6910.0,6915.0,73170,92230,0.0,V0
20090914,6690.0,6795.0,6605.0,6715.0,151142,84724,0.0,V0
20090915,6750.0,6775.0,6715.0,6770.0,62972,79336,0.0,V0
20090916,6805.0,6850.0,6760.0,6780.0,62208,80266,0.0,V0
20090917,6820.0,6830.0,6745.0,6760.0,60082,79342,0.0,V0
20090918,6750.0,6775.0,6685.0,6695.0,49482,78740,0.0,V0
20090921,6680.0,6745.0,6660.0,6720.0,43394,77022,0.0,V0
20090922,6710.0,6715.0,6675.0,6690.0,36446,72224,0.0,V0
20090923,6720.0,6720.0,6595.0,6620.0,54998,71934,0.0,V0
20090924,6600.0,6610.0,6500.0,6520.0,61052,67394,0.0,V0
20090925,6480.0,6480.0,6415.0,6440.0,46150,60262,0.0,V0
20090928,6430.0,6445.0,6160.0,6290.0,79236,54404,0.0,V0
20090929,6330.0,6335.0,6240.0,6280.0,37304,51666,0.0,V0
20090930,6305.0,6400.0,6245.0,6395.0,32726,44568,0.0,V0
20091009,6620.0,6745.0,6575.0,6575.0,41640,34274,0.0,V0
20091012,6600.0,6810.0,6580.0,6770.0,132654,61028,0.0,V0
20091013,6745.0,6790.0,6645.0,6700.0,103962,66358,0.0,V0
20091014,6745.0,6770.0,6695.0,6705.0,109566,75302,0.0,V0
20091015,6730.0,6855.0,6725.0,6755.0,231692,82708,0.0,V0
20091016,6825.0,6830.0,6705.0,6745.0,97120,85106,0.0,V0
20091019,6730.0,6890.0,6725.0,6825.0,147458,86458,0.0,V0
20091020,6855.0,6945.0,6840.0,6870.0,136752,84882,0.0,V0
20091021,6840.0,6840.0,6710.0,6740.0,110814,85476,0.0,V0
20091022,6840.0,6900.0,6720.0,6780.0,119970,88700,0.0,V0
20091023,6810.0,6860.0,6800.0,6845.0,109312,94028,0.0,V0
20091026,6820.0,6940.0,6770.0,6915.0,144134,104492,0.0,V0
20091027,6860.0,6905.0,6840.0,6870.0,93006,96256,0.0,V0
20091028,6865.0,6940.0,6810.0,6845.0,114228,94042,0.0,V0
20091029,6760.0,6795.0,6705.0,6715.0,97706,89810,0.0,V0
20091030,6795.0,6830.0,6750.0,6765.0,76580,93382,0.0,V0
20091102,6690.0,6760.0,6660.0,6740.0,68760,93302,0.0,V0
20091103,6740.0,6780.0,6715.0,6725.0,51182,91804,0.0,V0
20091104,6760.0,6780.0,6705.0,6730.0,48630,92748,0.0,V0
20091105,6735.0,6735.0,6665.0,6690.0,60116,94090,0.0,V0
20091106,6700.0,6740.0,6675.0,6735.0,56316,90690,0.0,V0
20091109,6730.0,6765.0,6715.0,6755.0,64086,91814,0.0,V0
20091110,6795.0,6980.0,6760.0,6960.0,392892,122474,0.0,V0
20091111,6995.0,7040.0,6955.0,6995.0,349692,123548,0.0,V0
20091112,7020.0,7100.0,6990.0,7050.0,315944,123434,0.0,V0
20091113,6980.0,7080.0,6950.0,7040.0,250136,118616,0.0,V0
20091116,7090.0,7185.0,7055.0,7055.0,246598,114830,0.0,V0
20091117,7100.0,7140.0,7040.0,7065.0,207586,118414,0.0,V0
20091118,7100.0,7220.0,7090.0,7150.0,343496,130378,0.0,V0
20091119,7150.0,7185.0,7080.0,7090.0,153382,126146,0.0,V0
20091120,7090.0,7110.0,7020.0,7075.0,144532,124736,0.0,V0
20091123,7100.0,7200.0,7100.0,7175.0,198134,117950,0.0,V0
