date,open,high,low,close,volume,open_interest,settle,symbol
20050104,1665.0,1668.0,1659.0,1663.0,48868,61968,0.0,WH0
20050105,1628.0,1635.0,1612.0,1634.0,63652,117448,0.0,WH0
20050106,1635.0,1650.0,1633.0,1646.0,59740,117128,0.0,WH0
20050107,1650.0,1669.0,1647.0,1661.0,151982,115152,0.0,WH0
20050110,1661.0,1665.0,1652.0,1657.0,69370,115756,0.0,WH0
20050111,1658.0,1670.0,1655.0,1661.0,66456,114472,0.0,WH0
20050112,1658.0,1662.0,1653.0,1657.0,28242,111680,0.0,WH0
20050113,1688.0,1705.0,1687.0,1705.0,81130,75172,0.0,WH0
20050114,1709.0,1731.0,1709.0,1725.0,96668,78344,0.0,WH0
20050117,1717.0,1725.0,1707.0,1720.0,76734,74552,0.0,WH0
20050118,1720.0,1727.0,1716.0,1720.0,65580,78202,0.0,WH0
20050119,1717.0,1728.0,1709.0,1713.0,71290,78506,0.0,WH0
20050120,1717.0,1717.0,1698.0,1702.0,88556,82396,0.0,WH0
20050121,1700.0,1708.0,1692.0,1697.0,73564,84792,0.0,WH0
20050124,1696.0,1700.0,1684.0,1690.0,86200,85742,0.0,WH0
20050125,1690.0,1695.0,1667.0,1669.0,121162,84360,0.0,WH0
20050126,1673.0,1674.0,1664.0,1672.0,89266,86868,0.0,WH0
20050127,1670.0,1676.0,1666.0,1670.0,59404,89914,0.0,WH0
20050128,1665.0,1666.0,1660.0,1662.0,71542,86076,0.0,WH0
20050131,1662.0,1669.0,1659.0,1665.0,65228,84822,0.0,WH0
20050201,1666.0,1680.0,1662.0,1680.0,91420,96272,0.0,WH0
20050202,1674.0,1685.0,1670.0,1671.0,115856,99992,0.0,WH0
20050203,1669.0,1672.0,1647.0,1659.0,159446,94532,0.0,WH0
20050204,1658.0,1666.0,1655.0,1663.0,68774,97792,0.0,WH0
20050216,1678.0,1678.0,1658.0,1658.0,68898,95896,0.0,WH0
20050217,1654.0,1656.0,1642.0,1646.0,109458,103566,0.0,WH0
20050218,1657.0,1659.0,1646.0,1652.0,107010,106582,0.0,WH0
20050221,1650.0,1690.0,1647.0,1685.0,289370,113038,0.0,WH0
20050222,1686.0,1697.0,1681.0,1695.0,221020,101806,0.0,WH0
20050223,1708.0,1741.0,1706.0,1714.0,265178,87994,0.0,WH0
20050224,1721.0,1730.0,1714.0,1728.0,174254,96072,0.0,WH0
20050225,1719.0,1722.0,1697.0,1698.0,163458,88518,0.0,WH0
20050228,1723.0,1756.0,1723.0,1749.0,314554,100404,0.0,WH0
20050301,1766.0,1768.0,1728.0,1734.0,210640,98926,0.0,WH0
20050302,1728.0,1753.0,1717.0,1731.0,337094,108580,0.0,WH0
20050303,1732.0,1737.0,1710.0,1713.0,210214,103224,0.0,WH0
20050304,1714.0,1722.0,1688.0,1695.0,219602,91472,0.0,WH0
20050307,1698.0,1710.0,1692.0,1706.0,144682,96860,0.0,WH0
20050308,1695.0,1718.0,1688.0,1713.0,167090,97962,0.0,WH0
20050309,1721.0,1733.0,1718.0,1723.0,156886,94544,0.0,WH0
20050310,1728.0,1733.0,1722.0,1725.0,116754,93298,0.0,WH0
20050311,1730.0,1740.0,1709.0,1717.0,119242,85474,0.0,WH0
20050314,1762.0,1768.0,1735.0,1745.0,205164,94378,0.0,WH0
20050315,1740.0,1755.0,1731.0,1741.0,167742,98048,0.0,WH0
20050316,1755.0,1796.0,1749.0,1796.0,237302,112898,0.0,WH0
20050317,1785.0,1805.0,1780.0,1788.0,202442,119680,0.0,WH0
20050318,1795.0,1817.0,1739.0,1753.0,351508,96868,0.0,WH0
20050321,1750.0,1761.0,1741.0,1751.0,157002,91826,0.0,WH0
20050322,1731.0,1745.0,1720.0,1739.0,91194,81302,0.0,WH0
20050323,1738.0,1746.0,1716.0,1719.0,141024,84066,0.0,WH0
20050324,1722.0,1727.0,1709.0,1727.0,80986,90340,0.0,WH0
20050325,1730.0,1740.0,1728.0,1732.0,70108,91290,0.0,WH0
20050328,1730.0,1737.0,1715.0,1716.0,72114,87556,0.0,WH0
20050329,1716.0,1728.0,1714.0,1725.0,52286,88122,0.0,WH0
20050330,1722.0,1737.0,1722.0,1725.0,82194,86122,0.0,WH0
20050331,1730.0,1751.0,1730.0,1747.0,108856,94988,0.0,WH0
20050401,1729.0,1735.0,1724.0,1732.0,63622,91006,0.0,WH0
20050404,1719.0,1730.0,1711.0,1717.0,34798,90856,0.0,WH0
20050405,1715.0,1721.0,1705.0,1709.0,61604,86072,0.0,WH0
20050406,1734.0,1741.0,1726.0,1739.0,52414,75384,0.0,WH0
20050407,1743.0,1745.0,1735.0,1738.0,35732,78274,0.0,WH0
20050408,1708.0,1708.0,1686.0,1688.0,71214,83154,0.0,WH0
20050411,1709.0,1715.0,1698.0,1705.0,53932,83184,0.0,WH0
20050412,1710.0,1723.0,1707.0,1714.0,67626,89602,0.0,WH0
20050413,1710.0,1710.0,1688.0,1689.0,46312,86476,0.0,WH0
20050414,1691.0,1698.0,1682.0,1691.0,55742,87758,0.0,WH0
20050415,1687.0,1698.0,1678.0,1686.0,64622,89056,0.0,WH0
20050418,1680.0,1685.0,1674.0,1684.0,49692,93248,0.0,WH0
20050419,1685.0,1701.0,1678.0,1700.0,76152,96824,0.0,WH0
20050420,1714.0,1722.0,1706.0,1716.0,125296,104560,0.0,WH0
20050421,1711.0,1712.0,1665.0,1669.0,129366,94094,0.0,WH0
20050422,1680.0,1680.0,1662.0,1677.0,77186,95338,0.0,WH0
20050425,1680.0,1682.0,1667.0,1673.0,57330,97528,0.0,WH0
20050426,1679.0,1686.0,1672.0,1684.0,80450,103852,0.0,WH0
20050427,1686.0,1709.0,1686.0,1697.0,170988,110368,0.0,WH0
20050428,1692.0,1707.0,1692.0,1705.0,124392,110694,0.0,WH0
20050429,1700.0,1704.0,1690.0,1695.0,78950,108866,0.0,WH0
20050509,1697.0,1702.0,1687.0,1688.0,50212,110832,0.0,WH0
20050510,1685.0,1691.0,1683.0,1688.0,47846,113206,0.0,WH0
20050511,1692.0,1700.0,1689.0,1691.0,96626,120290,0.0,WH0
20050512,1686.0,1689.0,1676.0,1678.0,58670,116656,0.0,WH0
20050513,1670.0,1674.0,1662.0,1666.0,61030,112130,0.0,WH0
20050516,1660.0,1679.0,1660.0,1679.0,66322,116264,0.0,WH0
20050517,1681.0,1686.0,1668.0,1685.0,93156,119218,0.0,WH0
20050518,1686.0,1687.0,1677.0,1686.0,68574,120806,0.0,WH0
20050519,1689.0,1692.0,1679.0,1679.0,77788,124078,0.0,WH0
20050520,1675.0,1678.0,1672.0,1676.0,49354,121562,0.0,WH0
20050523,1680.0,1694.0,1679.0,1693.0,86502,123618,0.0,WH0
20050524,1703.0,1706.0,1669.0,1678.0,107644,122142,0.0,WH0
20050525,1683.0,1685.0,1672.0,1680.0,93380,118844,0.0,WH0
20050526,1685.0,1691.0,1681.0,1691.0,74922,120098,0.0,WH0
20050527,1695.0,1716.0,1689.0,1713.0,183596,141496,0.0,WH0
20050530,1706.0,1721.0,1703.0,1711.0,185896,146460,0.0,WH0
20050531,1721.0,1726.0,1708.0,1716.0,158540,151128,0.0,WH0
20050601,1711.0,1719.0,1698.0,1701.0,142506,147570,0.0,WH0
20050602,1701.0,1706.0,1695.0,1703.0,126970,146492,0.0,WH0
20050603,1693.0,1699.0,1692.0,1697.0,61512,143792,0.0,WH0
20050606,1705.0,1734.0,1705.0,1730.0,193252,152118,0.0,WH0
20050607,1720.0,1731.0,1717.0,1724.0,119724,149538,0.0,WH0
20050608,1720.0,1724.0,1714.0,1723.0,66444,150206,0.0,WH0
20050609,1715.0,1748.0,1715.0,1740.0,190688,161018,0.0,WH0
20050610,1740.0,1749.0,1734.0,1740.0,128388,162372,0.0,WH0
20050613,1745.0,1754.0,1740.0,1747.0,144052,168044,0.0,WH0
20050614,1749.0,1750.0,1734.0,1734.0,84038,160096,0.0,WH0
20050615,1738.0,1741.0,1735.0,1738.0,59696,159682,0.0,WH0
20050616,1745.0,1748.0,1733.0,1735.0,77860,159168,0.0,WH0
20050617,1735.0,1743.0,1728.0,1732.0,71186,155318,0.0,WH0
20050620,1743.0,1756.0,1739.0,1745.0,84746,160510,0.0,WH0
20050621,1748.0,1749.0,1732.0,1734.0,55300,155208,0.0,WH0
