date,open,high,low,close,volume,open_interest,settle,symbol
20090327,3400.0,3500.0,3361.0,3398.0,105070,12430,0.0,WR0
20090330,3381.0,3437.0,3381.0,3417.0,46374,13722,0.0,WR0
20090331,3410.0,3425.0,3401.0,3419.0,15124,13466,0.0,WR0
20090401,3423.0,3423.0,3407.0,3409.0,6708,12012,0.0,WR0
20090402,3400.0,3413.0,3336.0,3351.0,29940,14688,0.0,WR0
20090403,3364.0,3364.0,3313.0,3323.0,22776,18276,0.0,WR0
20090407,3303.0,3370.0,3303.0,3355.0,29046,22220,0.0,WR0
20090408,3349.0,3359.0,3330.0,3335.0,12312,21682,0.0,WR0
20090409,3341.0,3358.0,3330.0,3343.0,8942,22718,0.0,WR0
20090410,3355.0,3360.0,3341.0,3353.0,11020,23140,0.0,WR0
20090413,3349.0,3378.0,3330.0,3353.0,11314,24312,0.0,WR0
20090414,3360.0,3450.0,3350.0,3425.0,30060,26772,0.0,WR0
20090415,3430.0,3445.0,3412.0,3430.0,16922,27940,0.0,WR0
20090416,3448.0,3498.0,3435.0,3479.0,19690,31384,0.0,WR0
20090417,3491.0,3522.0,3467.0,3502.0,30902,34078,0.0,WR0
20090420,3532.0,3532.0,3490.0,3501.0,20912,37972,0.0,WR0
20090421,3488.0,3488.0,3331.0,3422.0,24080,35568,0.0,WR0
20090422,3460.0,3460.0,3415.0,3427.0,12266,35064,0.0,WR0
20090423,3426.0,3435.0,3398.0,3416.0,9676,35618,0.0,WR0
20090424,3406.0,3425.0,3404.0,3406.0,6964,35974,0.0,WR0
20090427,3413.0,3426.0,3385.0,3401.0,7472,35882,0.0,WR0
20090428,3408.0,3416.0,3403.0,3407.0,4228,35760,0.0,WR0
20090429,3409.0,3432.0,3405.0,3429.0,5644,35572,0.0,WR0
20090430,3441.0,3459.0,3425.0,3447.0,15536,37072,0.0,WR0
20090504,3489.0,3598.0,3469.0,3543.0,35634,39342,0.0,WR0
20090505,3560.0,3560.0,3480.0,3487.0,13766,38814,0.0,WR0
20090506,3487.0,3507.0,3477.0,3505.0,7526,40294,0.0,WR0
20090507,3513.0,3550.0,3493.0,3496.0,12036,39554,0.0,WR0
20090508,3498.0,3515.0,3490.0,3514.0,7460,38900,0.0,WR0
20090511,3550.0,3560.0,3515.0,3537.0,19872,38766,0.0,WR0
20090512,3538.0,3555.0,3532.0,3545.0,8556,37760,0.0,WR0
20090513,3549.0,3554.0,3534.0,3538.0,6200,36458,0.0,WR0
20090514,3528.0,3528.0,3492.0,3505.0,9782,37454,0.0,WR0
20090515,3508.0,3525.0,3500.0,3507.0,4878,37092,0.0,WR0
20090518,3502.0,3525.0,3485.0,3514.0,5030,36446,0.0,WR0
20090519,3529.0,3530.0,3515.0,3524.0,3888,36760,0.0,WR0
20090520,3522.0,3541.0,3514.0,3521.0,4364,35670,0.0,WR0
20090521,3516.0,3539.0,3516.0,3523.0,3484,35412,0.0,WR0
20090522,3522.0,3528.0,3506.0,3515.0,2950,35194,0.0,WR0
20090525,3517.0,3530.0,3502.0,3511.0,3164,35032,0.0,WR0
20090526,3513.0,3520.0,3501.0,3505.0,3658,34476,0.0,WR0
20090527,3519.0,3519.0,3507.0,3512.0,1948,34422,0.0,WR0
20090601,3530.0,3554.0,3530.0,3547.0,7284,32126,0.0,WR0
20090602,3568.0,3581.0,3555.0,3563.0,8612,30754,0.0,WR0
20090603,3570.0,3583.0,3563.0,3580.0,4300,31552,0.0,WR0
20090604,3561.0,3645.0,3557.0,3626.0,26572,34700,0.0,WR0
20090605,3658.0,3690.0,3630.0,3674.0,20636,33798,0.0,WR0
20090608,3668.0,3694.0,3661.0,3690.0,13568,31590,0.0,WR0
20090609,3693.0,3729.0,3675.0,3685.0,8990,30122,0.0,WR0
20090610,3696.0,3715.0,3675.0,3709.0,9972,30952,0.0,WR0
20090611,3714.0,3826.0,3703.0,3768.0,20508,31652,0.0,WR0
20090612,3780.0,3828.0,3745.0,3765.0,38416,32838,0.0,WR0
20090615,3756.0,3789.0,3733.0,3755.0,16254,33348,0.0,WR0
20090616,3738.0,3788.0,3738.0,3782.0,17734,33834,0.0,WR0
20090617,3784.0,3788.0,3752.0,3766.0,10040,33546,0.0,WR0
20090618,3766.0,3774.0,3742.0,3752.0,6782,32070,0.0,WR0
20090619,3767.0,3832.0,3754.0,3807.0,15204,31544,0.0,WR0
20090622,3810.0,3838.0,3810.0,3825.0,19816,32930,0.0,WR0
20090623,3826.0,3826.0,3750.0,3791.0,21582,31024,0.0,WR0
20090624,3791.0,3809.0,3777.0,3788.0,7646,31364,0.0,WR0
20090625,3781.0,3800.0,3766.0,3781.0,5672,31256,0.0,WR0
20090626,3778.0,3798.0,3766.0,3774.0,7386,31366,0.0,WR0
20090629,3767.0,3771.0,3735.0,3738.0,10158,28902,0.0,WR0
20090630,3739.0,3758.0,3732.0,3738.0,4896,27676,0.0,WR0
20090701,3747.0,3762.0,3736.0,3759.0,6306,28504,0.0,WR0
20090702,3769.0,3802.0,3769.0,3795.0,8214,28856,0.0,WR0
20090703,3800.0,3805.0,3782.0,3784.0,5668,27926,0.0,WR0
20090706,3789.0,3798.0,3778.0,3788.0,2544,27840,0.0,WR0
20090707,3788.0,3798.0,3785.0,3788.0,2440,26816,0.0,WR0
20090708,3788.0,3796.0,3765.0,3771.0,4848,26184,0.0,WR0
20090709,3780.0,3792.0,3766.0,3790.0,2480,25838,0.0,WR0
20090710,3795.0,3810.0,3790.0,3798.0,4460,24828,0.0,WR0
20090713,3805.0,3825.0,3805.0,3812.0,4110,24792,0.0,WR0
20090714,3840.0,3840.0,3815.0,3822.0,3892,23900,0.0,WR0
20090715,3820.0,3875.0,3820.0,3875.0,7890,22178,0.0,WR0
20090716,3898.0,3920.0,3870.0,3897.0,5550,20552,0.0,WR0
20090717,3897.0,3899.0,3876.0,3881.0,3050,19482,0.0,WR0
20090720,3890.0,3899.0,3885.0,3898.0,3322,18154,0.0,WR0
20090721,3900.0,3919.0,3900.0,3914.0,2538,17496,0.0,WR0
20090722,3930.0,3955.0,3910.0,3949.0,5590,15494,0.0,WR0
20090723,3978.0,3998.0,3941.0,3990.0,2984,14510,0.0,WR0
20090724,3999.0,4069.0,3983.0,4050.0,4632,14026,0.0,WR0
20090727,4080.0,4121.0,4065.0,4110.0,3692,13258,0.0,WR0
20090728,4111.0,4206.0,4100.0,4191.0,4314,12768,0.0,WR0
20090729,4190.0,4275.0,4190.0,4256.0,11596,8684,0.0,WR0
20090730,4253.0,4350.0,4248.0,4325.0,6332,10916,0.0,WR0
20090731,4378.0,4503.0,4348.0,4503.0,10208,8656,0.0,WR0
20090803,4647.0,4736.0,4647.0,4736.0,9432,10148,0.0,WR0
20090804,4799.0,4858.0,4701.0,4705.0,11152,8570,0.0,WR0
20090805,4710.0,4798.0,4693.0,4744.0,9816,7076,0.0,WR0
20090806,4742.0,4764.0,4696.0,4736.0,5148,7546,0.0,WR0
20090807,4710.0,4739.0,4543.0,4565.0,7116,6036,0.0,WR0
20090810,4565.0,4630.0,4480.0,4533.0,7440,5028,0.0,WR0
20090811,4568.0,4570.0,4467.0,4542.0,4198,5170,0.0,WR0
20090812,4540.0,4550.0,4454.0,4454.0,3996,5010,0.0,WR0
20090813,4499.0,4530.0,4462.0,4473.0,6854,4770,0.0,WR0
20090814,4473.0,4490.0,4279.0,4307.0,12356,6554,0.0,WR0
20090817,4307.0,4356.0,4150.0,4220.0,12142,6842,0.0,WR0
20090818,4220.0,4276.0,4203.0,4226.0,10036,8000,0.0,WR0
20090819,4249.0,4249.0,4027.0,4027.0,17866,15314,0.0,WR0
20090820,4038.0,4120.0,3950.0,4103.0,29040,14166,0.0,WR0
20090821,4100.0,4235.0,4062.0,4197.0,29544,12118,0.0,WR0
20090824,4302.0,4320.0,4161.0,4191.0,18712,13126,0.0,WR0
20090825,4151.0,4180.0,4081.0,4120.0,16842,12880,0.0,WR0
20090826,4078.0,4171.0,4072.0,4137.0,17202,14574,0.0,WR0
20090827,4128.0,4165.0,4094.0,4138.0,19096,13616,0.0,WR0
20090828,4138.0,4180.0,4111.0,4130.0,16686,14418,0.0,WR0
20090831,4149.0,4149.0,3991.0,4014.0,16006,13854,0.0,WR0
20090901,4015.0,4024.0,3950.0,3969.0,13690,14108,0.0,WR0
20090902,3850.0,3924.0,3850.0,3867.0,16748,15698,0.0,WR0
20090903,3871.0,3912.0,3847.0,3875.0,17618,17362,0.0,WR0
20090904,3860.0,3879.0,3842.0,3855.0,10262,17084,0.0,WR0
20090907,3856.0,3856.0,3747.0,3750.0,11958,17058,0.0,WR0
20090908,3750.0,3777.0,3717.0,3757.0,12764,17856,0.0,WR0
20090909,3763.0,3838.0,3750.0,3833.0,15546,18380,0.0,WR0
20090910,3837.0,3848.0,3800.0,3806.0,8578,17746,0.0,WR0
20090911,3804.0,3817.0,3775.0,3786.0,5350,16356,0.0,WR0
20090914,3750.0,3789.0,3704.0,3785.0,4180,15690,0.0,WR0
20090915,3850.0,3855.0,3821.0,3839.0,2380,6994,0.0,WR0
20090916,3773.0,3815.0,3773.0,3815.0,4458,15856,0.0,WR0
20090917,3830.0,3832.0,3760.0,3764.0,5006,15748,0.0,WR0
20090918,3840.0,3870.0,3817.0,3852.0,4902,7404,0.0,WR0
20090921,3855.0,3878.0,3835.0,3867.0,4432,7482,0.0,WR0
20090922,3863.0,3866.0,3830.0,3830.0,2620,7692,0.0,WR0
20090923,3844.0,3844.0,3768.0,3772.0,5076,7638,0.0,WR0
20090924,3750.0,3757.0,3700.0,3720.0,5732,7214,0.0,WR0
20090925,3695.0,3698.0,3660.0,3673.0,4916,7906,0.0,WR0
20090928,3665.0,3665.0,3501.0,3537.0,4914,7828,0.0,WR0
20090929,3541.0,3588.0,3503.0,3571.0,2896,7426,0.0,WR0
20090930,3590.0,3596.0,3549.0,3573.0,2408,7164,0.0,WR0
20091009,3595.0,3632.0,3542.0,3550.0,2440,7514,0.0,WR0
20091012,3501.0,3539.0,3484.0,3531.0,4482,7680,0.0,WR0
20091013,3542.0,3543.0,3509.0,3509.0,4322,7826,0.0,WR0
20091014,3510.0,3528.0,3501.0,3518.0,1936,8198,0.0,WR0
20091015,3570.0,3627.0,3567.0,3621.0,3966,5224,0.0,WR0
20091016,3575.0,3612.0,3574.0,3611.0,4670,8076,0.0,WR0
20091019,3690.0,3829.0,3679.0,3730.0,14376,8306,0.0,WR0
20091020,3746.0,3762.0,3680.0,3713.0,10806,8278,0.0,WR0
20091021,3702.0,3744.0,3691.0,3740.0,10304,9510,0.0,WR0
20091022,3780.0,3798.0,3718.0,3718.0,9490,9966,0.0,WR0
20091023,3721.0,3756.0,3720.0,3744.0,7078,10014,0.0,WR0
20091026,3748.0,3821.0,3745.0,3814.0,11948,12182,0.0,WR0
20091027,3790.0,3825.0,3775.0,3802.0,10536,10904,0.0,WR0
20091028,3798.0,3798.0,3702.0,3709.0,8240,10370,0.0,WR0
20091029,3689.0,3699.0,3642.0,3688.0,7354,8824,0.0,WR0
20091030,3730.0,3745.0,3691.0,3716.0,6164,9886,0.0,WR0
20091102,3715.0,3749.0,3653.0,3747.0,5856,10100,0.0,WR0
20091103,3740.0,3772.0,3710.0,3712.0,7874,10700,0.0,WR0
20091104,3711.0,3736.0,3709.0,3730.0,4078,10778,0.0,WR0
20091105,3729.0,3734.0,3716.0,3724.0,2584,10404,0.0,WR0
20091106,3723.0,3736.0,3719.0,3732.0,3892,8124,0.0,WR0
20091109,3897.0,3917.0,3853.0,3916.0,4178,6262,0.0,WR0
20091110,3916.0,3969.0,3860.0,3883.0,4112,6996,0.0,WR0
20091111,3896.0,3933.0,3872.0,3900.0,2878,6394,0.0,WR0
