date,open,close,high,low,volume,symbol
20241224,13414.09,13595.74,13606.4,13402.0,,XIN9
20241223,13293.55,13414.09,13503.96,13292.21,,XIN9
20241220,13415.7,13293.55,13416.64,13289.98,,XIN9
20241219,13471.18,13415.7,13471.18,13337.06,,XIN9
20241218,13422.84,13471.18,13549.09,13422.84,,XIN9
20241217,13330.27,13422.84,13535.57,13327.87,,XIN9
20241216,13333.9,13330.27,13384.54,13286.68,,XIN9
20241213,13680.88,13333.9,13680.88,13328.27,,XIN9
20241212,13503.04,13680.88,13694.01,13473.4,,XIN9
20241211,13582.07,13503.04,13616.73,13480.81,,XIN9
20241210,13444.47,13582.07,13885.19,13444.47,,XIN9
20241209,13442.83,13444.47,13526.78,13382.13,,XIN9
20241206,13270.8,13442.83,13532.77,13270.8,,XIN9
20241205,13340.69,13270.8,13340.69,13240.74,,XIN9
20241204,13352.32,13340.69,13389.21,13251.35,,XIN9
20241203,13271.52,13352.32,13378.35,13215.64,,XIN9
20241202,13181.68,13271.52,13301.86,13148.55,,XIN9
20241129,13093.76,13181.68,13360.86,13093.76,,XIN9
20241128,13206.41,13093.76,13207.11,13048.61,,XIN9
20241127,13043.14,13206.41,13207.94,12990.49,,XIN9
20241126,13006.82,13043.14,13111.07,12940.5,,XIN9
20241125,13071.78,13006.82,13199.22,12942.84,,XIN9
20241122,13449.78,13071.78,13459.97,13071.78,,XIN9
20241121,13435.29,13449.78,13466.04,13379.68,,XIN9
20241120,13418.27,13435.29,13482.06,13355.94,,XIN9
20241119,13416.57,13418.27,13460.37,13241.56,,XIN9
20241118,13371.14,13416.57,13626.23,13359.51,,XIN9
20241115,13555.2,13371.14,13577.04,13371.14,,XIN9
20241114,13691.3,13555.2,13758.19,13538.94,,XIN9
20241113,13602.58,13691.3,13740.92,13517.81,,XIN9
20241112,13748.79,13602.58,13958.25,13549.23,,XIN9
20241111,13827.84,13748.79,13827.84,13516.4,,XIN9
20241108,14030.35,13827.84,14196.04,13792.94,,XIN9
20241107,13562.5,14030.35,14030.35,13468.22,,XIN9
20241106,13723.29,13562.5,13813.04,13493.62,,XIN9
20241105,13474.05,13723.29,13738.04,13375.53,,XIN9
20241104,13327.23,13474.05,13475.37,13278.53,,XIN9
20241101,13219.61,13327.23,13444.83,13199.42,,XIN9
20241031,13285.49,13219.61,13335.36,13111.54,,XIN9
20241030,13422.89,13285.49,13453.43,13219.58,,XIN9
20241029,13528.51,13422.89,13631.54,13409.09,,XIN9
20241028,13518.77,13528.51,13528.51,13352.73,,XIN9
20241025,13494.56,13518.77,13644.97,13432.83,,XIN9
20241024,13627.34,13494.56,13627.34,13444.53,,XIN9
20241023,13577.7,13627.34,13735.86,13507.64,,XIN9
20241022,13502.61,13577.7,13643.6,13474.93,,XIN9
20241021,13555.42,13502.61,13625.77,13423.23,,XIN9
20241018,13160.5,13555.42,13780.74,13082.53,,XIN9
20241017,13347.77,13160.5,13506.2,13159.92,,XIN9
20241016,13418.37,13347.77,13488.68,13250.7,,XIN9
20241015,13801.7,13418.37,13801.7,13418.37,,XIN9
20241014,13575.87,13801.7,13881.57,13566.1,,XIN9
20241011,13881.92,13575.87,13893.97,13432.34,,XIN9
20241010,13577.79,13881.92,14192.14,13564.52,,XIN9
20241009,14588.31,13577.79,14588.31,13565.59,,XIN9
20241008,14016.62,14588.31,15405.92,14016.62,,XIN9
20240930,13077.93,14016.62,14135.68,13077.93,,XIN9
20240927,12626.4,13077.93,13079.27,12626.12,,XIN9
20240926,12093.56,12626.4,12630.61,12081.05,,XIN9
20240925,11908.7,12093.56,12305.99,11908.7,,XIN9
20240924,11326.2,11908.7,11909.49,11326.2,,XIN9
20240923,11261.94,11326.2,11383.74,11249.39,,XIN9
20240920,11239.53,11261.94,11288.4,11167.24,,XIN9
20240919,11192.74,11239.53,11297.98,11075.78,,XIN9
20240918,11154.7,11192.74,11226.61,11123.16,,XIN9
20240913,11202.6,11154.7,11252.31,11151.22,,XIN9
20240912,11253.35,11202.6,11285.24,11195.04,,XIN9
20240911,11319.74,11253.35,11319.74,11222.4,,XIN9
20240910,11293.96,11319.74,11349.24,11265.24,,XIN9
