date,open,high,low,close,volume,open_interest,settle,symbol
20150526,430.0,432.0,422.0,423.4,38646,38146,427.0,ZC0
20150527,423.0,425.0,421.0,422.0,20592,38938,422.4,ZC0
20150528,423.0,428.0,422.0,424.8,18854,37494,425.0,ZC0
20150529,426.0,427.0,423.0,425.4,10500,36478,425.0,ZC0
20150601,428.0,429.0,424.8,428.0,15876,36372,427.0,ZC0
20150602,427.0,428.0,426.0,427.0,8898,36054,427.0,ZC0
20150603,426.4,428.0,426.0,426.8,7948,34904,427.4,ZC0
20150604,427.0,427.2,424.0,425.6,10364,34054,425.2,ZC0
20150605,425.0,427.0,418.0,418.8,23626,33462,421.8,ZC0
20150608,418.0,419.0,415.0,416.0,11994,34374,417.0,ZC0
20150609,417.0,418.0,415.6,416.8,10542,33992,417.0,ZC0
20150610,417.0,420.0,416.8,419.6,10716,32636,418.0,ZC0
20150611,419.0,420.0,417.0,418.0,7412,32080,419.0,ZC0
20150612,417.4,417.4,410.4,413.6,14454,31016,415.2,ZC0
20150615,412.4,415.2,411.4,413.8,6420,30460,413.8,ZC0
20150616,412.0,414.2,410.4,412.2,9828,30464,412.2,ZC0
20150617,411.2,413.0,410.4,411.0,7758,29918,411.6,ZC0
20150618,410.4,412.0,409.6,411.4,10110,26700,410.6,ZC0
20150619,411.6,412.4,411.0,411.8,4886,25772,411.6,ZC0
20150624,410.8,412.0,405.4,408.4,10124,26492,410.0,ZC0
20150625,408.6,409.4,407.6,408.0,4506,26724,408.4,ZC0
20150626,408.0,409.0,405.4,406.0,8780,25356,406.8,ZC0
20150629,406.0,408.2,403.0,405.6,6802,24504,405.8,ZC0
20150630,405.0,410.8,400.4,408.4,16118,23254,405.6,ZC0
20150701,408.2,409.0,405.0,405.0,6356,23366,406.8,ZC0
20150702,404.6,407.2,404.0,405.8,4492,23208,405.8,ZC0
20150703,406.8,407.6,404.2,404.8,7362,22598,405.8,ZC0
20150706,405.0,406.4,391.2,395.8,16962,21984,397.6,ZC0
20150707,395.4,395.4,388.0,389.0,9568,21322,391.6,ZC0
20150708,386.0,389.0,375.8,375.8,9242,18106,379.2,ZC0
20150709,352.6,391.8,352.6,378.6,35406,10704,373.6,ZC0
20150710,381.0,381.8,375.2,379.2,13644,9038,378.8,ZC0
20150713,378.0,380.8,375.6,378.0,8250,9344,378.6,ZC0
20150714,378.6,380.8,376.6,378.4,5318,9308,378.8,ZC0
20150715,378.8,380.0,378.0,380.0,3828,8742,379.2,ZC0
20150716,380.2,385.8,371.2,378.8,6618,9056,379.0,ZC0
20150717,379.6,381.0,377.4,378.4,2350,9014,379.0,ZC0
20150720,378.2,382.8,377.6,381.8,5146,9086,380.4,ZC0
20150721,381.4,382.0,378.0,378.2,3950,8982,380.0,ZC0
20150722,401.4,402.4,390.4,391.0,7024,10896,396.2,ZC0
20150723,392.6,394.8,390.0,393.2,3656,11188,392.2,ZC0
20150724,393.4,394.0,386.8,388.6,5168,11732,389.2,ZC0
20150727,389.4,396.8,389.2,390.8,4798,12058,392.4,ZC0
20150728,391.0,393.2,383.8,385.0,12272,15934,388.2,ZC0
20150729,385.6,389.6,382.4,387.2,8760,16776,387.2,ZC0
20150730,387.0,389.0,385.0,386.0,3856,16954,387.0,ZC0
20150731,386.2,387.8,385.4,387.0,2932,16910,386.8,ZC0
20150803,387.0,389.0,380.0,384.8,9194,18092,385.2,ZC0
20150804,383.8,387.2,383.6,386.8,4622,18046,385.6,ZC0
20150805,387.0,389.6,385.4,385.8,5016,18392,387.2,ZC0
20150806,385.6,386.2,382.4,382.4,4476,18770,384.4,ZC0
20150807,382.0,383.8,379.8,382.8,4130,19354,381.6,ZC0
20150810,382.6,384.2,379.6,380.4,7486,20412,381.4,ZC0
20150811,381.0,388.8,380.2,385.4,11864,20412,385.8,ZC0
20150812,383.8,387.6,383.0,387.4,5386,20920,385.0,ZC0
20150813,389.8,394.4,388.0,393.8,16066,20506,391.8,ZC0
20150814,393.6,393.6,386.0,391.8,6884,19764,390.6,ZC0
20150817,390.8,393.0,390.2,390.6,4140,20166,391.4,ZC0
20150818,390.4,391.0,382.0,384.4,8676,21788,386.4,ZC0
20150819,384.0,385.4,380.0,384.6,10950,22846,382.4,ZC0
20150820,385.2,385.4,380.4,380.8,6640,24116,382.2,ZC0
20150821,381.6,384.0,380.8,381.8,3042,23656,382.2,ZC0
20150824,381.6,381.6,370.0,373.0,19228,24666,375.2,ZC0
20150825,370.2,374.4,370.2,371.2,8378,24324,372.0,ZC0
20150826,374.2,378.2,367.2,369.4,10590,26028,370.8,ZC0
20150827,369.4,374.6,369.2,371.4,4748,25346,371.8,ZC0
20150828,373.2,378.6,372.0,373.0,12246,25896,374.6,ZC0
20150831,373.4,375.0,370.2,371.6,6408,25712,372.4,ZC0
20150901,371.8,377.6,371.0,376.6,9286,26718,374.8,ZC0
20150902,375.4,377.2,370.8,371.8,8646,26064,373.2,ZC0
20150907,360.0,362.0,356.0,361.0,216,2530,360.0,ZC0
20150908,371.6,378.0,371.6,376.4,11220,26104,375.0,ZC0
20150909,377.0,384.0,375.6,378.6,14790,26802,379.2,ZC0
20150910,378.4,379.6,375.0,378.4,6512,26830,377.2,ZC0
20150911,378.2,380.6,377.0,380.0,9210,26574,379.0,ZC0
20150914,379.6,384.0,377.2,377.4,11084,26666,379.6,ZC0
20150915,377.0,378.0,375.0,376.4,6610,27338,376.2,ZC0
20150916,376.4,381.6,373.2,378.8,12480,26502,376.8,ZC0
20150917,379.2,379.8,376.6,377.8,5238,26342,377.8,ZC0
20150918,377.6,378.8,376.2,376.6,4430,26046,377.6,ZC0
20150921,376.0,376.0,371.2,372.8,11070,25968,373.6,ZC0
20150922,373.2,373.8,370.2,370.8,9236,26144,371.6,ZC0
20150923,370.0,371.8,369.0,370.2,6890,26022,370.6,ZC0
20150924,370.2,371.4,367.4,369.6,6876,26856,369.4,ZC0
20150925,369.0,370.6,368.0,368.6,5492,26692,369.4,ZC0
20150928,368.4,368.4,364.8,365.4,5494,27780,366.4,ZC0
20150929,364.2,367.0,361.0,363.2,10502,25478,363.2,ZC0
20150930,363.8,365.6,361.8,365.2,5414,23510,364.0,ZC0
20151009,364.8,369.4,364.0,368.0,10586,24340,367.0,ZC0
20151012,368.0,368.4,365.0,366.0,2986,24658,366.2,ZC0
20151013,364.6,365.8,363.0,363.8,7410,25180,364.6,ZC0
20151014,364.0,364.0,353.8,355.8,22164,29042,359.6,ZC0
20151015,355.8,357.8,353.2,354.8,21372,28542,355.2,ZC0
20151016,354.6,354.6,351.6,351.8,15130,28046,352.8,ZC0
20151019,351.4,355.2,350.2,352.8,12994,25468,353.4,ZC0
20151020,352.2,353.2,348.2,349.0,12502,27130,350.4,ZC0
20151021,348.2,349.4,346.2,347.2,11264,27190,347.8,ZC0
20151022,347.4,349.8,346.4,346.8,9136,26484,347.8,ZC0
20151023,347.2,347.6,337.0,341.4,28126,27810,341.8,ZC0
20151026,341.8,341.8,331.4,331.8,34302,30952,335.0,ZC0
20151027,331.2,334.8,329.6,333.6,25420,28986,332.2,ZC0
20151028,333.2,334.8,331.2,333.0,15792,28722,333.0,ZC0
20151029,333.4,334.6,331.2,333.6,13552,28398,333.0,ZC0
20151030,333.6,335.8,328.0,328.4,19480,30258,332.6,ZC0
20151102,328.0,332.4,327.4,328.2,19924,30976,329.8,ZC0
20151103,328.2,330.6,327.6,328.0,16376,30414,329.0,ZC0
20151104,327.4,331.0,326.8,329.6,11878,30198,329.6,ZC0
20151105,329.8,335.2,325.6,329.0,25986,27318,330.8,ZC0
20151106,328.6,332.6,327.6,330.2,12672,27920,329.8,ZC0
20151109,306.0,309.0,306.0,308.0,7480,29524,308.0,ZC0
20151110,308.0,310.0,306.0,310.0,14194,27896,308.0,ZC0
20151111,309.0,310.0,302.0,303.0,11336,29154,306.0,ZC0
20151112,303.0,304.0,298.0,300.0,19778,32398,301.0,ZC0
20151113,299.0,302.0,296.0,300.0,26206,33546,298.0,ZC0
20151116,302.0,305.0,299.0,300.0,23472,35034,302.0,ZC0
20151117,301.0,302.0,296.0,300.0,18072,34952,299.0,ZC0
20151118,300.0,302.0,295.0,296.0,18538,38074,298.0,ZC0
20151119,296.0,297.0,286.0,288.0,51434,42110,290.0,ZC0
20151120,287.0,290.0,285.0,287.0,35696,44214,288.0,ZC0
20151123,287.0,290.0,286.0,288.0,16206,43866,288.0,ZC0
20151124,288.0,288.0,278.0,283.0,67536,47354,282.0,ZC0
20151125,283.0,293.0,281.0,289.0,65792,45982,286.0,ZC0
20151126,288.0,299.0,286.0,294.0,66314,45040,294.0,ZC0
20151127,294.0,299.0,291.0,294.0,37268,47782,295.0,ZC0
20151130,293.0,296.0,288.0,293.0,35704,49132,292.0,ZC0
20151201,293.0,298.0,293.0,295.0,29092,50738,295.0,ZC0
20151202,294.0,300.0,292.0,297.0,42748,54464,297.0,ZC0
20151203,297.0,297.0,289.0,290.0,34486,57542,294.0,ZC0
20151204,289.0,293.0,285.0,287.0,49686,57278,289.0,ZC0
20151207,289.0,292.0,282.0,292.0,41312,57122,288.0,ZC0
20151208,290.0,292.0,286.0,289.0,37770,57534,289.0,ZC0
20151209,288.0,292.0,287.0,290.0,38876,60210,290.0,ZC0
20151210,291.0,299.0,290.0,292.0,36460,60002,292.0,ZC0
