date,open,high,low,close,volume,open_interest,settle,symbol
20070326,28600.0,29600.0,28580.0,29220.0,16786,4640,0.0,ZN0
20070327,29550.0,29745.0,29500.0,29725.0,16046,6346,0.0,ZN0
20070328,29495.0,29700.0,29420.0,29565.0,8506,7048,0.0,ZN0
20070329,29510.0,29560.0,29010.0,29020.0,8694,8004,0.0,ZN0
20070330,29430.0,29500.0,29180.0,29380.0,13756,9180,0.0,ZN0
20070402,29390.0,29445.0,29250.0,29290.0,5902,9486,0.0,ZN0
20070403,28935.0,28980.0,28660.0,28780.0,11610,10368,0.0,ZN0
20070404,29250.0,29260.0,28980.0,28985.0,8848,10798,0.0,ZN0
20070405,29700.0,30245.0,29540.0,30245.0,18584,13378,0.0,ZN0
20070406,30245.0,31515.0,30105.0,31390.0,61548,17190,0.0,ZN0
20070409,31550.0,32195.0,31550.0,32195.0,32744,19134,0.0,ZN0
20070410,32850.0,33865.0,31980.0,32740.0,128462,24976,0.0,ZN0
20070411,32800.0,32990.0,32020.0,32400.0,115844,26594,0.0,ZN0
20070412,32535.0,33220.0,32370.0,32940.0,112858,30110,0.0,ZN0
20070413,32000.0,32265.0,31600.0,31720.0,58412,26694,0.0,ZN0
20070416,32055.0,32360.0,31860.0,32240.0,57966,28426,0.0,ZN0
20070417,32100.0,32640.0,31855.0,32160.0,75052,29702,0.0,ZN0
20070418,33590.0,33590.0,33400.0,33590.0,23606,27472,0.0,ZN0
20070419,33790.0,34030.0,31560.0,32790.0,142760,29138,0.0,ZN0
20070420,33000.0,33100.0,31990.0,32950.0,127544,28842,0.0,ZN0
20070423,33000.0,33630.0,31990.0,33600.0,34288,32386,0.0,ZN0
20070424,33980.0,34100.0,33460.0,34065.0,100956,34950,0.0,ZN0
20070425,33335.0,33480.0,32860.0,33070.0,124430,33030,0.0,ZN0
20070426,33365.0,33500.0,33120.0,33305.0,67122,34488,0.0,ZN0
20070427,32500.0,32700.0,32160.0,32270.0,72398,31408,0.0,ZN0
20070430,32310.0,32775.0,32120.0,32700.0,50030,28588,0.0,ZN0
20070508,33705.0,33705.0,33705.0,33705.0,584,28310,0.0,ZN0
20070509,35590.0,35590.0,34500.0,34555.0,96548,34890,0.0,ZN0
20070510,34190.0,34745.0,34105.0,34710.0,107616,38946,0.0,ZN0
20070511,33800.0,34000.0,33205.0,33330.0,85600,34698,0.0,ZN0
20070514,33860.0,33900.0,33330.0,33410.0,71204,34302,0.0,ZN0
20070515,32600.0,32630.0,32255.0,32255.0,55048,30324,0.0,ZN0
20070516,32300.0,32530.0,31435.0,31830.0,88234,29566,0.0,ZN0
20070517,30525.0,31015.0,30520.0,30520.0,57508,25270,0.0,ZN0
20070518,29720.0,30140.0,28900.0,29355.0,128688,23178,0.0,ZN0
20070521,29545.0,30725.0,29545.0,30725.0,51496,20958,0.0,ZN0
20070522,31350.0,32000.0,30565.0,30900.0,127892,23372,0.0,ZN0
20070523,30110.0,30350.0,29920.0,30130.0,64856,22962,0.0,ZN0
20070524,29910.0,30600.0,29910.0,30585.0,82826,25334,0.0,ZN0
20070525,29310.0,29880.0,29310.0,29800.0,53938,21868,0.0,ZN0
20070528,30650.0,30650.0,30650.0,30650.0,1540,20584,0.0,ZN0
20070529,31200.0,31200.0,30120.0,30245.0,54810,21398,0.0,ZN0
20070530,30200.0,30655.0,30005.0,30125.0,65978,19852,0.0,ZN0
20070531,30365.0,30780.0,30295.0,30705.0,45712,20916,0.0,ZN0
20070601,31010.0,31095.0,30490.0,30590.0,40076,18400,0.0,ZN0
20070604,30900.0,30965.0,30400.0,30400.0,28452,12516,0.0,ZN0
20070605,30980.0,31010.0,30730.0,30900.0,45616,16190,0.0,ZN0
20070606,30600.0,30850.0,30535.0,30675.0,30910,16090,0.0,ZN0
20070607,30300.0,30485.0,30010.0,30140.0,37566,16450,0.0,ZN0
20070608,30100.0,30250.0,29780.0,29925.0,31964,17286,0.0,ZN0
20070611,30010.0,30280.0,29730.0,30270.0,49936,20506,0.0,ZN0
20070612,30490.0,30530.0,29960.0,29980.0,35568,18604,0.0,ZN0
20070613,29900.0,30050.0,29780.0,29965.0,20366,17534,0.0,ZN0
20070614,30010.0,30045.0,29730.0,29780.0,17254,18774,0.0,ZN0
20070615,29850.0,29900.0,28820.0,28870.0,45988,18144,0.0,ZN0
20070618,29080.0,29360.0,28785.0,29280.0,47068,19464,0.0,ZN0
20070619,28980.0,28980.0,28615.0,28750.0,34306,18318,0.0,ZN0
20070620,28610.0,29050.0,28580.0,28905.0,36328,18372,0.0,ZN0
20070621,28805.0,28880.0,28680.0,28810.0,20252,18108,0.0,ZN0
20070622,28480.0,28490.0,28110.0,28160.0,38262,19238,0.0,ZN0
20070625,28205.0,28220.0,27090.0,27090.0,49488,22062,0.0,ZN0
20070626,27270.0,27290.0,26445.0,26455.0,82268,20938,0.0,ZN0
20070627,26000.0,26000.0,25625.0,25625.0,29532,14884,0.0,ZN0
20070628,25410.0,26620.0,25410.0,26575.0,147990,21990,0.0,ZN0
20070629,26565.0,27015.0,25850.0,26695.0,233410,26708,0.0,ZN0
20070702,26415.0,26750.0,26165.0,26620.0,162866,28050,0.0,ZN0
20070703,27100.0,27535.0,27000.0,27535.0,116604,28214,0.0,ZN0
20070704,27255.0,27440.0,26605.0,26655.0,188006,33972,0.0,ZN0
20070705,26900.0,27000.0,26510.0,26670.0,158864,34226,0.0,ZN0
20070706,26555.0,26580.0,26150.0,26250.0,115788,36054,0.0,ZN0
20070709,26325.0,27070.0,26320.0,26985.0,114630,33038,0.0,ZN0
20070710,26810.0,26885.0,26520.0,26565.0,117976,35138,0.0,ZN0
20070711,26510.0,26510.0,26215.0,26360.0,90986,34896,0.0,ZN0
20070712,26880.0,26955.0,26560.0,26940.0,81722,30630,0.0,ZN0
20070713,27000.0,27325.0,26830.0,27210.0,81766,30072,0.0,ZN0
20070716,27000.0,27325.0,26830.0,27210.0,81766,30072,0.0,ZN0
20070718,27000.0,27450.0,26830.0,27340.0,74262,34482,0.0,ZN0
20070719,27340.0,27535.0,27250.0,27400.0,68300,34002,0.0,ZN0
20070720,27810.0,28470.0,27810.0,28470.0,79684,30838,0.0,ZN0
20070723,28820.0,29880.0,28780.0,29230.0,140614,31298,0.0,ZN0
20070724,28950.0,29030.0,28470.0,28530.0,144676,27326,0.0,ZN0
20070725,28600.0,28970.0,28600.0,28900.0,101582,28498,0.0,ZN0
20070726,28400.0,29195.0,28280.0,29120.0,116282,25746,0.0,ZN0
20070727,28310.0,28815.0,28120.0,28275.0,128304,23080,0.0,ZN0
20070730,28300.0,28600.0,28255.0,28425.0,66614,20584,0.0,ZN0
20070731,28630.0,28880.0,28620.0,28790.0,35590,17886,0.0,ZN0
20070801,29010.0,29100.0,28100.0,28110.0,72612,22262,0.0,ZN0
20070802,28450.0,28495.0,28040.0,28395.0,89268,23586,0.0,ZN0
20070803,28250.0,28400.0,28150.0,28350.0,48774,24716,0.0,ZN0
20070806,27350.0,27660.0,27350.0,27470.0,58146,27880,0.0,ZN0
20070807,27960.0,27960.0,27600.0,27685.0,32880,29646,0.0,ZN0
20070808,27960.0,28030.0,27710.0,27820.0,51332,30218,0.0,ZN0
20070809,27860.0,28390.0,27805.0,28390.0,72066,30324,0.0,ZN0
20070810,27950.0,28155.0,27780.0,27965.0,82838,31452,0.0,ZN0
20070813,28160.0,28215.0,28000.0,28120.0,43826,32806,0.0,ZN0
20070814,28150.0,28170.0,27905.0,28010.0,32946,33438,0.0,ZN0
20070815,27710.0,27780.0,27630.0,27750.0,26888,34384,0.0,ZN0
20070816,27610.0,27875.0,26700.0,27100.0,101264,36448,0.0,ZN0
20070817,26120.0,26280.0,26120.0,26120.0,24842,36480,0.0,ZN0
20070820,26120.0,27080.0,26120.0,27040.0,53012,39982,0.0,ZN0
20070821,26790.0,26975.0,26555.0,26770.0,75180,37348,0.0,ZN0
20070822,26700.0,26890.0,26485.0,26800.0,56846,35012,0.0,ZN0
20070823,27490.0,27650.0,27320.0,27600.0,49946,30928,0.0,ZN0
20070824,27605.0,27610.0,27210.0,27240.0,40276,29852,0.0,ZN0
20070827,27385.0,27630.0,27290.0,27420.0,43442,20322,0.0,ZN0
20070828,27310.0,27470.0,27070.0,27135.0,42536,24092,0.0,ZN0
20070829,26700.0,27000.0,26610.0,26915.0,48196,26568,0.0,ZN0
20070830,27175.0,27410.0,27160.0,27300.0,46192,28590,0.0,ZN0
20070831,27300.0,27505.0,27110.0,27500.0,60118,32910,0.0,ZN0
20070903,27700.0,27780.0,27425.0,27450.0,53458,34042,0.0,ZN0
20070904,27255.0,27670.0,27215.0,27510.0,60116,37106,0.0,ZN0
20070905,27355.0,27500.0,26920.0,27130.0,98352,44994,0.0,ZN0
20070906,26680.0,26780.0,26305.0,26380.0,105754,60732,0.0,ZN0
20070907,26520.0,26635.0,26395.0,26405.0,66740,66084,0.0,ZN0
20070910,26000.0,26090.0,25570.0,25580.0,68966,73392,0.0,ZN0
20070911,25280.0,26010.0,25200.0,25870.0,138166,79846,0.0,ZN0
20070912,26300.0,26300.0,25705.0,25740.0,111454,80306,0.0,ZN0
20070913,25900.0,25950.0,25630.0,25670.0,67536,79946,0.0,ZN0
20070914,26100.0,26100.0,25825.0,26065.0,81586,75306,0.0,ZN0
20070917,26000.0,26480.0,25950.0,26435.0,72996,72360,0.0,ZN0
20070918,26100.0,26380.0,26050.0,26125.0,75486,71608,0.0,ZN0
20070919,26650.0,26780.0,26420.0,26695.0,74360,61040,0.0,ZN0
20070920,26800.0,27080.0,26695.0,26820.0,52644,55646,0.0,ZN0
20070921,26455.0,26510.0,26210.0,26410.0,45826,37560,0.0,ZN0
20070924,26360.0,26545.0,26305.0,26470.0,44292,41676,0.0,ZN0
20070925,26515.0,26550.0,26420.0,26515.0,44478,45900,0.0,ZN0
20070926,26530.0,26600.0,26385.0,26435.0,38582,45808,0.0,ZN0
20070927,26595.0,26750.0,26520.0,26745.0,55036,45880,0.0,ZN0
20070928,27080.0,27125.0,26910.0,27125.0,51256,48314,0.0,ZN0
20071008,27055.0,27060.0,26160.0,26295.0,50720,50324,0.0,ZN0
20071009,26010.0,26175.0,25830.0,25920.0,53222,54094,0.0,ZN0
20071010,26100.0,26160.0,25930.0,26115.0,44808,56692,0.0,ZN0
20071011,26350.0,26400.0,26180.0,26275.0,43318,55496,0.0,ZN0
20071012,26250.0,26400.0,26015.0,26335.0,40430,54792,0.0,ZN0
20071015,26500.0,26865.0,26430.0,26850.0,66992,56772,0.0,ZN0
20071016,26750.0,26880.0,26475.0,26810.0,56154,56346,0.0,ZN0
20071017,26300.0,26550.0,26230.0,26305.0,54694,53250,0.0,ZN0
20071018,26280.0,26285.0,26105.0,26200.0,33368,52030,0.0,ZN0
20071019,26150.0,26430.0,26110.0,26355.0,30818,22250,0.0,ZN0
20071022,26000.0,26150.0,25465.0,25470.0,44652,29398,0.0,ZN0
20071023,25650.0,25810.0,25485.0,25680.0,50852,32126,0.0,ZN0
20071024,25660.0,25680.0,25350.0,25400.0,46030,37376,0.0,ZN0
20071025,25350.0,25460.0,25265.0,25345.0,47306,36138,0.0,ZN0
20071026,25470.0,25660.0,25400.0,25650.0,35628,36398,0.0,ZN0
20071029,25700.0,25980.0,25655.0,25910.0,45612,40894,0.0,ZN0
20071030,25600.0,25600.0,25225.0,25355.0,44882,45130,0.0,ZN0
20071031,25250.0,25505.0,24980.0,25250.0,65824,50636,0.0,ZN0
20071101,25445.0,25445.0,24580.0,24590.0,99302,63564,0.0,ZN0
20071102,24100.0,24150.0,23745.0,23745.0,59660,66370,0.0,ZN0
20071105,23990.0,24050.0,23000.0,23175.0,147652,66662,0.0,ZN0
20071106,23150.0,23485.0,22710.0,23295.0,172490,68724,0.0,ZN0
